sale_id,order_date,salesman_name,salesman_area,salesman_team,outlet_name,outlet_type,outlet_segment,city,province,region,product_name,brand,category,unit,cost_price,quantity,unit_price,discount,total_amount
TRX-033133,2024-10-08,Hendra Kusuma,Surabaya,Tim C,Warung Bu Dewi,Warung,General Trade,Denpasar,Bali,Bali,Oreo Original,Nabisco,Snack,karton,50000,10,68000,0,680000.0
TRX-045084,2024-10-15,Lukman Hakim,Bandung,Tim A,Alfamart Bekasi,Minimarket,Modern Trade,Tangerang,Banten,Jawa,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,46,72000,10,2980800.0
TRX-052338,2024-07-31,Budi Santoso,Bandung,Tim A,Lotte Mart Bandung,Hypermarket,Modern Trade,Bogor,Jawa Barat,Jawa,Teh Botol Sosro,Sosro,Minuman,karton,54000,43,72000,2.5,3018600.0
TRX-033588,2024-01-08,Budi Santoso,Bandung,Tim A,Warung Pak Bejo,Warung,General Trade,Jakarta,DKI Jakarta,Jawa,Pepsodent 190g,Unilever,Personal Care,lusin,110000,41,145000,0,5945000.0
TRX-030763,2024-10-23,Lukman Hakim,Bandung,Tim A,Lottemart Medan,Hypermarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Rinso Anti Noda,Unilever,Deterjen,karton,72000,20,95000,0,1900000.0
TRX-064310,2024-11-12,Dian Pratama,Medan,Tim B,Toko Makmur,Toko Kelontong,General Trade,Palembang,Sumatera Selatan,Sumatera,Teh Botol Sosro,Sosro,Minuman,karton,54000,41,72000,0,2952000.0
TRX-076189,2024-11-24,Budi Santoso,Bandung,Tim A,Giant Surabaya,Supermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,37,65000,0,2405000.0
TRX-057245,2024-06-24,Maya Anggraini,Surabaya,Tim B,Toko Maju Jaya,Toko Kelontong,General Trade,Bogor,Jawa Barat,Jawa,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,37,78000,10,2597400.0
TRX-070787,2024-10-07,Maya Anggraini,Surabaya,Tim B,Superindo Bandung,Supermarket,Modern Trade,Denpasar,Bali,Bali,Indomie Goreng,Indofood,Mie Instan,karton,65000,35,85000,10,2677500.0
TRX-001556,2024-09-05,Gita Permata,Bandung,Tim B,Lotte Mart Bandung,Hypermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,31,72000,5,2120400.0
TRX-085060,2024-06-25,Eko Wahyudi,Semarang,Tim C,Alfamart Bekasi,Minimarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Lifebuoy Sabun,Unilever,Personal Care,lusin,74000,16,98000,5,1489600.0
TRX-030184,2024-01-30,Fajar Nugroho,Jakarta,Tim A,Superindo Bandung,Supermarket,Modern Trade,Denpasar,Bali,Bali,Indomie Goreng,Indofood,Mie Instan,karton,65000,19,85000,15,1372750.0
TRX-000109,2024-08-11,Joko Widodo,Semarang,Tim B,Superindo Medan,Supermarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Pantene Shampoo,P&G,Personal Care,lusin,125000,47,165000,2.5,7561125.0
TRX-080210,2024-02-02,Dian Pratama,Medan,Tim B,Lotte Mart Bandung,Hypermarket,Modern Trade,Tangerang,Banten,Jawa,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,2,78000,10,140400.0
TRX-095278,20/12/2024,Joko Widodo,Semarang,Tim B,Giant Surabaya,Supermarket,Modern Trade,Bandung,Jawa Barat,Jawa,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,7,72000,0,504000
TRX-005956,2024-04-06,Indah Lestari,Medan,Tim A,Indomaret Depok,Minimarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Ultra Milk Full Cream,Ultra,Minuman,karton,88000,8,115000,15,782000.0
TRX-003878,2024-05-12,Joko Widodo,Semarang,Tim B,Alfamart Bekasi,Minimarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Milo Activ,Nestle,Minuman,karton,92000,10,120000,0,1200000.0
TRX-036533,2024-07-27,Gita Permata,Bandung,Tim B,Toko Maju Jaya,Toko Kelontong,General Trade,Bandung,Jawa Barat,Jawa,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,36,95000,0,3420000.0
TRX-099201,2024-05-16,Joko Widodo,Semarang,Tim B,Toko Makmur,Toko Kelontong,General Trade,Medan,Sumatera Utara,Sumatera,Good Day Coffee,Santos Jaya,Kopi,karton,67000,-12,88000,0,-1056000
TRX-008318,2024-12-10,Gita Permata,Bandung,Tim B,Giant Surabaya,Supermarket,Modern Trade,Denpasar,Bali,Bali,Indomie Goreng,Indofood,Mie Instan,karton,65000,19,85000,0,1615000.0
TRX-040587,2024-01-28,Joko Widodo,Semarang,Tim B,Toko Makmur,Toko Kelontong,General Trade,Tangerang,Banten,Jawa,Chitato Sapi Panggang,Indofood,Snack,karton,55000,29,75000,15,1848750.0
TRX-063294,2024-12-27,Kartika Sari,Jakarta,Tim C,Lotte Mart Bandung,Hypermarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,5,72000,0,360000.0
TRX-023698,2024-06-05,Olivia Tan,Semarang,Tim A,Lottemart Medan,Hypermarket,Modern Trade,Bandung,Jawa Barat,Jawa,Pantene Shampoo,P&G,Personal Care,lusin,125000,19,165000,0,3135000.0
TRX-048596,2024-07-28,Ahmad Fauzi,Jakarta,Tim A,Carrefour Semarang,Hypermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Molto Ultra,Unilever,Deterjen,karton,66000,47,88000,0,4136000.0
TRX-051233,2024-03-16,Dian Pratama,Medan,Tim B,Toko Makmur,Toko Kelontong,General Trade,Denpasar,Bali,Bali,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,34,95000,2.5,3149250.0
TRX-085035,2024-05-18,Joko Widodo,Semarang,Tim B,Toko Makmur,Toko Kelontong,General Trade,Makassar,Sulawesi Selatan,Sulawesi,Molto Ultra,Unilever,Deterjen,karton,66000,22,88000,10,1742400.0
TRX-088626,2024-12-05,Gita Permata,Bandung,Tim B,Transmart Jakarta,Hypermarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Pocari Sweat,Otsuka,Minuman,karton,82000,20,108000,10,1944000.0
TRX-000246,2024-07-28,Fajar Nugroho,Jakarta,Tim A,Indomaret Tangerang,Minimarket,Modern Trade,Tangerang,Banten,Jawa,Lifebuoy Sabun,Unilever,Personal Care,lusin,74000,50,98000,5,4655000.0
TRX-081238,2024-08-14,Kartika Sari,Jakarta,Tim C,Alfamart Bekasi,Minimarket,Modern Trade,Medan,Sumatera Utara,Sumatera,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,13,95000,15,1049750.0
TRX-064562,2024-11-03,Maya Anggraini,Surabaya,Tim B,Warung Bu Dewi,Warung,General Trade,Palembang,Sumatera Selatan,Sumatera,Rinso Anti Noda,Unilever,Deterjen,karton,72000,27,95000,0,2565000.0
TRX-063258,2024-12-08,Citra Dewi,Surabaya,Tim B,Warung Bu Siti,Warung,General Trade,Jakarta,DKI Jakarta,Jawa,Pocari Sweat,Otsuka,Minuman,karton,82000,46,108000,20,3974400.0
TRX-060522,2024-07-14,Nanda Putra,Medan,Tim C,Superindo Medan,Supermarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Pantene Shampoo,P&G,Personal Care,lusin,125000,27,165000,0,4455000.0
TRX-038983,2024-05-11,Nanda Putra,Medan,Tim C,Lottemart Medan,Hypermarket,Modern Trade,Bogor,Jawa Barat,Jawa,Teh Botol Sosro,Sosro,Minuman,karton,54000,3,72000,20,172800.0
TRX-046499,2024-07-08,Citra Dewi,Surabaya,Tim B,Lotte Mart Bandung,Hypermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Rinso Anti Noda,Unilever,Deterjen,karton,72000,15,95000,0,1425000.0
TRX-053482,2024-04-23,Olivia Tan,Semarang,Tim A,Indomaret Tangerang,Minimarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Pepsodent 190g,Unilever,Personal Care,lusin,110000,27,145000,2.5,3817125.0
TRX-000530,2024-09-28,Nanda Putra,Medan,Tim C,Carrefour Semarang,Hypermarket,Modern Trade,Medan,Sumatera Utara,Sumatera,Sunlight Jeruk,Unilever,Sabun Cuci,karton,58000,16,78000,10,1123200.0
TRX-087195,2024-07-09,Kartika Sari,Jakarta,Tim C,Warung Bu Siti,Warung,General Trade,Bandung,Jawa Barat,Jawa,Milo Activ,Nestle,Minuman,karton,92000,19,120000,5,2166000.0
TRX-045386,2024-05-29,Indah Lestari,Medan,Tim A,Superindo Medan,Supermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Good Day Coffee,Santos Jaya,Kopi,karton,67000,4,88000,0,352000.0
TRX-068864,2024-01-01,Fajar Nugroho,Jakarta,Tim A,Superindo Bandung,Supermarket,Modern Trade,Denpasar,Bali,Bali,Oreo Original,Nabisco,Snack,karton,50000,6,68000,5,387600.0
TRX-058272,2024-03-31,Dian Pratama,Medan,Tim B,Alfamart Bekasi,Minimarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Ultra Milk Full Cream,Ultra,Minuman,karton,88000,14,115000,2.5,1569750.0
TRX-093658,2024-07-12,Joko Widodo,Semarang,Tim B,Transmart Jakarta,Hypermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Chitato Sapi Panggang,Indofood,Snack,karton,55000,18,75000,15,1147500.0
TRX-075189,2024-10-26,Gita Permata,Bandung,Tim B,Carrefour Semarang,Hypermarket,Modern Trade,Bogor,Jawa Barat,Jawa,Pepsodent 190g,Unilever,Personal Care,lusin,110000,42,145000,2.5,5937750.0
TRX-018753,2024-04-01,Citra Dewi,Surabaya,Tim B,Alfamart Bekasi,Minimarket,Modern Trade,Bogor,Jawa Barat,Jawa,Pantene Shampoo,P&G,Personal Care,lusin,125000,21,165000,10,3118500.0
TRX-070077,2024-12-03,Citra Dewi,Surabaya,Tim B,Alfamart Bekasi,Minimarket,Modern Trade,Bandung,Jawa Barat,Jawa,Lifebuoy Sabun,Unilever,Personal Care,lusin,74000,14,98000,0,1372000.0
TRX-015723,2024-03-13,Ahmad Fauzi,Jakarta,Tim A,Toko Maju Jaya,Toko Kelontong,General Trade,Bandung,Jawa Barat,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,41,65000,2.5,2598375.0
TRX-081206,2024-06-21,Ahmad Fauzi,Jakarta,Tim A,Transmart Jakarta,Hypermarket,Modern Trade,Denpasar,Bali,Bali,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,25,72000,20,1440000.0
TRX-057652,2024-03-16,Maya Anggraini,Surabaya,Tim B,Toko Sejahtera,Toko Kelontong,General Trade,Denpasar,Bali,Bali,Indomie Rebus,Indofood,Mie Instan,karton,62000,22,82000,0,1804000.0
TRX-085422,2024-07-25,Hendra Kusuma,Surabaya,Tim C,Indomaret Depok,Minimarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Indomie Rebus,Indofood,Mie Instan,karton,62000,21,82000,0,1722000.0
TRX-061653,2024-05-06,Budi Santoso,Bandung,Tim A,Alfamart Bogor,Minimarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,3,95000,0,285000.0
TRX-056195,2024-05-13,Indah Lestari,Medan,Tim A,Indomaret Depok,Minimarket,Modern Trade,Tangerang,Banten,Jawa,Teh Botol Sosro,Sosro,Minuman,karton,54000,33,72000,0,2376000.0
TRX-008166,2024-09-06,Citra Dewi,Surabaya,Tim B,Lottemart Medan,Hypermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Indomie Rebus,Indofood,Mie Instan,karton,62000,32,82000,0,2624000.0
TRX-056497,2024-10-15,Dian Pratama,Medan,Tim B,Warung Bu Dewi,Warung,General Trade,Bogor,Jawa Barat,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,9,65000,15,497250.0
TRX-055833,2024-05-09,Maya Anggraini,Surabaya,Tim B,Toko Maju Jaya,Toko Kelontong,General Trade,Bogor,Jawa Barat,Jawa,Rinso Anti Noda,Unilever,Deterjen,karton,72000,33,95000,0,3135000.0
TRX-026175,2024-04-01,Indah Lestari,Medan,Tim A,Lotte Mart Bandung,Hypermarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,34,72000,15,2080800.0
TRX-043747,2024-11-28,Fajar Nugroho,Jakarta,Tim A,Indomaret Depok,Minimarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Pepsodent 190g,Unilever,Personal Care,lusin,110000,16,145000,0,2320000.0
TRX-052359,2024-09-26,Lukman Hakim,Bandung,Tim A,Warung Bu Dewi,Warung,General Trade,Tangerang,Banten,Jawa,Oreo Original,Nabisco,Snack,karton,50000,11,68000,2.5,729300.0
TRX-049083,2024-08-14,Hendra Kusuma,Surabaya,Tim C,Indomaret Tangerang,Minimarket,Modern Trade,Bogor,Jawa Barat,Jawa,Indomie Goreng,Indofood,Mie Instan,karton,65000,20,85000,20,1360000.0
TRX-018000,2024-09-21,Hendra Kusuma,Surabaya,Tim C,Lottemart Medan,Hypermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Chitato Sapi Panggang,Indofood,Snack,karton,55000,42,75000,10,2835000.0
TRX-059450,2024-08-11,Nanda Putra,Medan,Tim C,Superindo Medan,Supermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,17,65000,0,1105000.0
TRX-076932,2024-03-20,Maya Anggraini,Surabaya,Tim B,Hypermart Surabaya,Hypermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Pantene Shampoo,P&G,Personal Care,lusin,125000,13,165000,5,2037750.0
TRX-088120,2024-08-03,Olivia Tan,Semarang,Tim A,Giant Surabaya,Supermarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Molto Ultra,Unilever,Deterjen,karton,66000,3,88000,0,264000.0
TRX-084562,2024-11-21,Hendra Kusuma,Surabaya,Tim C,Alfamart Bogor,Minimarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Chitato Sapi Panggang,Indofood,Snack,karton,55000,49,75000,2.5,3583125.0
TRX-080637,2024-03-09,Olivia Tan,Semarang,Tim A,Lottemart Medan,Hypermarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Molto Ultra,Unilever,Deterjen,karton,66000,45,88000,2.5,3861000.0
TRX-074289,2024-08-13,Hendra Kusuma,Surabaya,Tim C,Transmart Jakarta,Hypermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Sunlight Jeruk,Unilever,Sabun Cuci,karton,58000,48,78000,10,3369600.0
TRX-007102,2024-04-09,Joko Widodo,Semarang,Tim B,Transmart Jakarta,Hypermarket,Modern Trade,Bogor,Jawa Barat,Jawa,Sunlight Jeruk,Unilever,Sabun Cuci,karton,58000,23,78000,10,1614600.0
TRX-040184,2024-10-25,Citra Dewi,Surabaya,Tim B,Warung Pak Eko,Warung,General Trade,Bandung,Jawa Barat,Jawa,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,25,95000,10,2137500.0
TRX-095096,July 25 2024,Fajar Nugroho,Jakarta,Tim A,Giant Surabaya,Supermarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Ultra Milk Full Cream,Ultra,Minuman,karton,88000,13,115000,0,1495000
TRX-021494,2024-06-14,Nanda Putra,Medan,Tim C,Indomaret Depok,Minimarket,Modern Trade,Denpasar,Bali,Bali,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,13,95000,20,988000.0
TRX-016536,2024-06-11,Joko Widodo,Semarang,Tim B,Indomaret Depok,Minimarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,2,65000,15,110500.0
TRX-073474,2024-08-23,Eko Wahyudi,Semarang,Tim C,Warung Bu Dewi,Warung,General Trade,Bandung,Jawa Barat,Jawa,Chitato Sapi Panggang,Indofood,Snack,karton,55000,2,75000,0,150000.0
TRX-001846,2024-11-13,Olivia Tan,Semarang,Tim A,Indomaret Tangerang,Minimarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Energen Coklat,Mayora,Sereal,karton,70000,33,92000,0,3036000.0
TRX-003767,2024-03-17,Indah Lestari,Medan,Tim A,Toko Maju Jaya,Toko Kelontong,General Trade,Semarang,Jawa Tengah,Jawa,Pocari Sweat,Otsuka,Minuman,karton,82000,2,108000,0,216000.0
TRX-013318,2024-05-12,Indah Lestari,Medan,Tim A,Indomaret Tangerang,Minimarket,Modern Trade,Semarang,Jawa Tengah,Jawa,Energen Coklat,Mayora,Sereal,karton,70000,49,92000,0,4508000.0
TRX-013105,2024-07-02,Gita Permata,Bandung,Tim B,Superindo Bandung,Supermarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Pocari Sweat,Otsuka,Minuman,karton,82000,1,108000,0,108000.0
TRX-069965,2024-02-07,Budi Santoso,Bandung,Tim A,Indomaret Tangerang,Minimarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Sunlight Jeruk,Unilever,Sabun Cuci,karton,58000,20,78000,5,1482000.0
TRX-021723,2024-05-16,Nanda Putra,Medan,Tim C,Alfamart Bogor,Minimarket,Modern Trade,Denpasar,Bali,Bali,Milo Activ,Nestle,Minuman,karton,92000,31,120000,20,2976000.0
TRX-026711,2024-12-15,Nanda Putra,Medan,Tim C,Toko Maju Jaya,Toko Kelontong,General Trade,Medan,Sumatera Utara,Sumatera,Oreo Original,Nabisco,Snack,karton,50000,10,68000,5,646000.0
TRX-091030,2024-08-04,Hendra Kusuma,Surabaya,Tim C,Lotte Mart Bandung,Hypermarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Oreo Original,Nabisco,Snack,karton,50000,12,68000,0,816000.0
TRX-015342,2024-12-04,Hendra Kusuma,Surabaya,Tim C,Toko Maju Jaya,Toko Kelontong,General Trade,Bogor,Jawa Barat,Jawa,Energen Coklat,Mayora,Sereal,karton,70000,30,92000,5,2622000.0
TRX-058440,2024-01-15,Olivia Tan,Semarang,Tim A,Toko Sejahtera,Toko Kelontong,General Trade,Makassar,Sulawesi Selatan,Sulawesi,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,9,78000,0,702000.0
TRX-008485,2024-06-25,Kartika Sari,Jakarta,Tim C,Superindo Medan,Supermarket,Modern Trade,Bandung,Jawa Barat,Jawa,Milo Activ,Nestle,Minuman,karton,92000,43,120000,0,5160000.0
TRX-072236,2024-03-17,Kartika Sari,Jakarta,Tim C,Alfamart Bogor,Minimarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Rinso Anti Noda,Unilever,Deterjen,karton,72000,1,95000,0,95000.0
TRX-001378,2024-01-13,Fajar Nugroho,Jakarta,Tim A,Warung Pak Eko,Warung,General Trade,Tangerang,Banten,Jawa,Teh Botol Sosro,Sosro,Minuman,karton,54000,34,72000,5,2325600.0
TRX-083883,2024-04-22,Hendra Kusuma,Surabaya,Tim C,Hypermart Surabaya,Hypermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Ultra Milk Full Cream,Ultra,Minuman,karton,88000,27,115000,10,2794500.0
TRX-078001,2024-10-11,Maya Anggraini,Surabaya,Tim B,Transmart Jakarta,Hypermarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Indomie Rebus,Indofood,Mie Instan,karton,62000,8,82000,15,557600.0
TRX-027321,2024-10-05,Ahmad Fauzi,Jakarta,Tim A,Lottemart Medan,Hypermarket,Modern Trade,Medan,Sumatera Utara,Sumatera,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,19,95000,15,1534250.0
TRX-021150,2024-03-21,Joko Widodo,Semarang,Tim B,Warung Bu Siti,Warung,General Trade,Semarang,Jawa Tengah,Jawa,Oreo Original,Nabisco,Snack,karton,50000,21,68000,0,1428000.0
TRX-093326,2024-06-27,Hendra Kusuma,Surabaya,Tim C,Toko Makmur,Toko Kelontong,General Trade,Surabaya,Jawa Timur,Jawa,Indomie Rebus,Indofood,Mie Instan,karton,62000,50,82000,5,3895000.0
TRX-031305,2024-07-31,Budi Santoso,Bandung,Tim A,Toko Berkah,Toko Kelontong,General Trade,Medan,Sumatera Utara,Sumatera,Chitato Sapi Panggang,Indofood,Snack,karton,55000,22,75000,10,1485000.0
TRX-009251,2024-07-21,Lukman Hakim,Bandung,Tim A,Alfamart Bogor,Minimarket,Modern Trade,Denpasar,Bali,Bali,Rinso Anti Noda,Unilever,Deterjen,karton,72000,26,95000,0,2470000.0
TRX-060480,2024-10-06,Hendra Kusuma,Surabaya,Tim C,Indomaret Tangerang,Minimarket,Modern Trade,Bogor,Jawa Barat,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,17,65000,0,1105000.0
TRX-043498,2024-04-06,Kartika Sari,Jakarta,Tim C,Warung Bu Dewi,Warung,General Trade,Palembang,Sumatera Selatan,Sumatera,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,5,72000,2.5,351000.0
TRX-015443,2024-08-18,Joko Widodo,Semarang,Tim B,Alfamart Bekasi,Minimarket,Modern Trade,Bandung,Jawa Barat,Jawa,Teh Botol Sosro,Sosro,Minuman,karton,54000,29,72000,0,2088000.0
TRX-043273,2024-12-29,Lukman Hakim,Bandung,Tim A,Toko Berkah,Toko Kelontong,General Trade,Palembang,Sumatera Selatan,Sumatera,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,7,78000,20,436800.0
TRX-066690,2024-01-30,Dian Pratama,Medan,Tim B,Alfamart Bekasi,Minimarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Lifebuoy Sabun,Unilever,Personal Care,lusin,74000,44,98000,5,4096400.0
TRX-025875,2024-01-03,Indah Lestari,Medan,Tim A,Indomaret Depok,Minimarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Sprite 1.5L,Coca-Cola,Minuman,karton,72000,31,95000,20,2356000.0
TRX-091568,2024-07-14,Ahmad Fauzi,Jakarta,Tim A,Warung Pak Bejo,Warung,General Trade,Bogor,Jawa Barat,Jawa,Lifebuoy Sabun,Unilever,Personal Care,lusin,74000,4,98000,0,392000.0
TRX-009588,2024-02-09,Maya Anggraini,Surabaya,Tim B,Toko Sejahtera,Toko Kelontong,General Trade,Palembang,Sumatera Selatan,Sumatera,Rinso Anti Noda,Unilever,Deterjen,karton,72000,40,95000,0,3800000.0
TRX-014684,2024-10-23,Kartika Sari,Jakarta,Tim C,Indomaret Depok,Minimarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Rinso Anti Noda,Unilever,Deterjen,karton,72000,41,95000,15,3310750.0
TRX-071104,2024-05-08,Dian Pratama,Medan,Tim B,Indomaret Depok,Minimarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Energen Coklat,Mayora,Sereal,karton,70000,26,92000,0,2392000.0
TRX-018523,2024-05-27,Nanda Putra,Medan,Tim C,Superindo Bandung,Supermarket,Modern Trade,Tangerang,Banten,Jawa,Molto Ultra,Unilever,Deterjen,karton,66000,18,88000,0,1584000.0
TRX-061050,2024-04-20,Dian Pratama,Medan,Tim B,Warung Bu Dewi,Warung,General Trade,Tangerang,Banten,Jawa,Pepsodent 190g,Unilever,Personal Care,lusin,110000,32,145000,5,4408000.0
TRX-079609,2024-02-03,Eko Wahyudi,Semarang,Tim C,Superindo Medan,Supermarket,Modern Trade,Jakarta,DKI Jakarta,Jawa,Pop Mie Ayam,Indofood,Mie Instan,karton,54000,50,72000,0,3600000.0
TRX-069345,2024-07-31,Eko Wahyudi,Semarang,Tim C,Toko Maju Jaya,Toko Kelontong,General Trade,Makassar,Sulawesi Selatan,Sulawesi,Pocari Sweat,Otsuka,Minuman,karton,82000,20,108000,10,1944000.0
TRX-001209,2024-05-06,Gita Permata,Bandung,Tim B,Indomaret Tangerang,Minimarket,Modern Trade,Medan,Sumatera Utara,Sumatera,Indomie Rebus,Indofood,Mie Instan,karton,62000,16,82000,2.5,1279200.0
TRX-009107,2024-11-09,Dian Pratama,Medan,Tim B,Toko Sejahtera,Toko Kelontong,General Trade,Bandung,Jawa Barat,Jawa,Energen Coklat,Mayora,Sereal,karton,70000,5,92000,5,437000.0
TRX-046738,2024-05-09,Nanda Putra,Medan,Tim C,Toko Sejahtera,Toko Kelontong,General Trade,Denpasar,Bali,Bali,Ultra Milk Full Cream,Ultra,Minuman,karton,88000,6,115000,10,621000.0
TRX-073407,2024-06-05,Olivia Tan,Semarang,Tim A,Giant Surabaya,Supermarket,Modern Trade,Surabaya,Jawa Timur,Jawa,Oreo Original,Nabisco,Snack,karton,50000,5,68000,2.5,331500.0
TRX-007864,2024-06-21,Fajar Nugroho,Jakarta,Tim A,Toko Makmur,Toko Kelontong,General Trade,Tangerang,Banten,Jawa,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,16,78000,0,1248000.0
TRX-037937,2024-12-02,Kartika Sari,Jakarta,Tim C,Lottemart Medan,Hypermarket,Modern Trade,Bandung,Jawa Barat,Jawa,Energen Coklat,Mayora,Sereal,karton,70000,20,92000,0,1840000.0
